Year,State,SEIFA_Quintile,Actual,Adjusted
2003,ACT,Q1,18.3155148741419,31.8703570496612
2003,ACT,Q4,17.7751834188324,30.9301401611811
2003,ACT,Q5,17.9832644304222,31.292216585469
2003,Aus,Q1,11.0260574165168,18.6569046382304
2003,Aus,Q2,12.3014410002245,20.8149479894971
2003,Aus,Q3,12.6372802982828,21.3832129205557
2003,Aus,Q4,13.9751120192587,23.6469231387572
2003,Aus,Q5,16.3273390536083,27.6270652520741
2003,NSW,Q1,11.6691051112461,19.9907020275474
2003,NSW,Q2,12.5515923963227,21.5025180743549
2003,NSW,Q3,12.810078350274,21.9453382935992
2003,NSW,Q4,15.1506593572904,25.9550594364405
2003,NSW,Q5,18.0524094924039,30.9261366318583
2003,NT,Q1,18.4294697362857,33.5412462877749
2003,NT,Q2,20.1092556515202,36.5984212309412
2003,NT,Q3,17.9291823308271,32.6307337596732
2003,NT,Q4,20.7237958499807,37.7168714329955
2003,NT,Q5,20.9093346225186,38.0545480864574
2003,Qld,Q1,10.8968186510052,18.2499914206398
2003,Qld,Q2,13.301271502544,22.2769689557637
2003,Qld,Q3,13.6783131398917,22.9084382742133
2003,Qld,Q4,13.6262474165202,22.8212386028898
2003,Qld,Q5,14.9070490323766,24.9663250955208
2003,SA,Q1,9.69220005079411,16.0951473734599
2003,SA,Q2,10.1866280458721,16.9162087841448
2003,SA,Q3,10.2086060799945,16.9527061424663
2003,SA,Q4,11.648118095903,19.3432013778608
2003,SA,Q5,12.5894539204228,20.9064108395065
2003,Tas,Q1,9.37538345128558,16.5824781545852
2003,Tas,Q2,12.0877398108613,21.3798915418688
2003,Tas,Q3,10.8369362686316,19.1675636384317
2003,Tas,Q4,11.4502841149609,20.2524075081
2003,Tas,Q5,12.3301936914384,21.8087258609187
2003,Vic,Q1,11.6392448363269,19.4423644355625
2003,Vic,Q2,11.6009806103433,19.3784473140585
2003,Vic,Q3,12.2881556767106,20.5263145734228
2003,Vic,Q4,14.0204733761601,23.4200033397038
2003,Vic,Q5,16.2757652555111,27.1872758082795
2003,WA,Q1,11.5975523118193,19.6571157520855
2003,WA,Q2,12.4849171707886,21.1611429190348
2003,WA,Q3,12.8731467158854,21.8191673798144
2003,WA,Q4,14.1181091161004,23.9292997034324
2003,WA,Q5,15.579104890577,26.4055948974559
2004,ACT,Q1,20.0086808703536,32.4988387288538
2004,ACT,Q4,18.5363757702484,30.1074663881173
2004,ACT,Q5,18.5949623049665,30.2026248023987
2004,Aus,Q1,12.8750767678532,20.171667920972
2004,Aus,Q2,14.0416439394156,21.9993545450251
2004,Aus,Q3,14.304527111332,22.4112194326311
2004,Aus,Q4,15.3685320061618,24.0782194662451
2004,Aus,Q5,17.0197177093611,26.6651686768282
2004,NSW,Q1,13.3762614977683,21.1477877465214
2004,NSW,Q2,13.9956119152163,22.1269769744753
2004,NSW,Q3,14.145895099125,22.3645737705384
2004,NSW,Q4,15.8362620775515,25.0370336412921
2004,NSW,Q5,18.0177291642726,28.4859197843819
2004,NT,Q1,19.84399351887,33.3065988216616
2004,NT,Q2,20.8747903969401,35.0367111628017
2004,NT,Q3,20.6527925010992,34.6641049709587
2004,NT,Q4,21.4359518041887,35.9785769141515
2004,NT,Q5,22.5581229548429,37.8620538608931
2004,Qld,Q1,12.6597076409172,19.7243276995495
2004,Qld,Q2,14.9098653519775,23.2301628521065
2004,Qld,Q3,15.5125951780381,24.1692398782683
2004,Qld,Q4,15.1794053568618,23.6501168933272
2004,Qld,Q5,15.9569151739146,24.8615080925678
2004,SA,Q1,11.6271607512233,17.9241631490388
2004,SA,Q2,12.08298766262,18.6268554143657
2004,SA,Q3,12.3015015308988,18.9637113596095
2004,SA,Q4,13.5505745251474,20.8892535115588
2004,SA,Q5,14.345593093431,22.1148358208884
2004,Tas,Q1,11.9563700524592,19.4473194654295
2004,Tas,Q2,14.135301922931,22.9914038315499
2004,Tas,Q3,12.7977327357686,20.8158158248445
2004,Tas,Q4,13.2518961154833,21.5545233335666
2004,Tas,Q5,13.903625096952,22.6145759793019
2004,Vic,Q1,13.3611560900428,20.7124263605137
2004,Vic,Q2,13.6066443892679,21.0929816272736
2004,Vic,Q3,13.9464519601266,21.6197503620092
2004,Vic,Q4,15.3941303013181,23.8639372297896
2004,Vic,Q5,16.9675652626684,26.3030716542661
2004,WA,Q1,12.9890696690312,20.2804361791648
2004,WA,Q2,14.3675998466447,22.4327992044244
2004,WA,Q3,14.5593605656006,22.7322040980426
2004,WA,Q4,15.5314893634563,24.2500338229725
2004,WA,Q5,16.6923696067507,26.0625699233768
2005,ACT,Q1,19.0829706477733,29.2120887879906
2005,ACT,Q4,17.8013944255236,27.2502601459021
2005,ACT,Q5,17.7503188314468,27.1720739548416
2005,Aus,Q1,13.0908273804185,19.4929233703764
2005,Aus,Q2,13.9532182341576,20.7770682405772
2005,Aus,Q3,14.3783454488798,21.4101047919289
2005,Aus,Q4,15.2280511842116,22.6753608605383
2005,Aus,Q5,16.3890176153167,24.4041003068289
2005,NSW,Q1,13.3088650336558,19.9576450899904
2005,NSW,Q2,13.4774875080138,20.210507185212
2005,NSW,Q3,13.9783536559893,20.9615936823407
2005,NSW,Q4,15.0591258618327,22.5822929720849
