service_year,state,oop_actual,oop_inflation_adjusted,remoteness
2003,Aus,14.27,24.15,Major cities
2003,NSW,15.51,26.57,Major cities
2003,Vic,14.61,24.4,Major cities
2003,Qld,13.58,22.75,Major cities
2003,WA,13.81,23.41,Major cities
2003,SA,11.05,18.35,Major cities
2003,ACT,17.91,31.16,Major cities
2004,Aus,15.44,24.19,Major cities
2004,NSW,16.06,25.39,Major cities
2004,Vic,15.64,24.24,Major cities
2004,Qld,15.07,23.48,Major cities
2004,WA,15.22,23.77,Major cities
2004,SA,12.89,19.87,Major cities
2004,ACT,18.58,30.17,Major cities
2005,Aus,15.26,22.73,Major cities
2005,NSW,15.46,23.18,Major cities
2005,Vic,15.46,22.8,Major cities
2005,Qld,14.97,22.2,Major cities
2005,WA,15.31,22.71,Major cities
2005,SA,13.48,19.87,Major cities
2005,ACT,17.77,27.2,Major cities
2006,Aus,17.66,25.5,Major cities
2006,NSW,17.78,25.91,Major cities
2006,Vic,17.85,25.6,Major cities
2006,Qld,17.74,25.41,Major cities
2006,WA,17.98,25.43,Major cities
2006,SA,14.79,21.28,Major cities
2006,ACT,20.42,30.61,Major cities
2007,Aus,19.67,28.26,Major cities
2007,NSW,19.41,28.03,Major cities
2007,Vic,19.91,28.68,Major cities
2007,Qld,19.95,28.46,Major cities
2007,WA,20.57,28.54,Major cities
2007,SA,16.28,23.28,Major cities
2007,ACT,22.36,34.19,Major cities
2008,Aus,21.62,29.73,Major cities
2008,NSW,21.12,29.37,Major cities
2008,Vic,21.82,29.83,Major cities
2008,Qld,22.09,30.23,Major cities
2008,WA,23.11,30.36,Major cities
2008,SA,17.51,24.12,Major cities
2008,ACT,24.56,36.02,Major cities
2009,Aus,23.51,31.69,Major cities
2009,NSW,23.11,31.37,Major cities
2009,Vic,23.75,31.97,Major cities
2009,Qld,23.79,31.97,Major cities
2009,WA,24.74,31.59,Major cities
2009,SA,19.57,26.64,Major cities
2009,ACT,27.07,37.42,Major cities
2010,Aus,25.45,33.83,Major cities
2010,NSW,24.82,33.41,Major cities
2010,Vic,25.67,34.0,Major cities
2010,Qld,25.72,34.2,Major cities
2010,WA,26.54,33.0,Major cities
2010,SA,22.06,29.49,Major cities
2010,ACT,29.85,39.57,Major cities
2011,Aus,27.16,35.5,Major cities
2011,NSW,26.41,34.8,Major cities
2011,Vic,27.45,35.78,Major cities
2011,Qld,27.43,36.03,Major cities
2011,WA,28.31,34.47,Major cities
2011,SA,23.25,30.79,Major cities
2011,ACT,32.15,42.09,Major cities
2012,Aus,28.96,36.99,Major cities
2012,NSW,28.33,36.38,Major cities
2012,Vic,29.24,37.34,Major cities
2012,Qld,29.0,37.25,Major cities
2012,WA,30.16,36.07,Major cities
2012,SA,24.98,32.24,Major cities
2012,ACT,34.09,44.37,Major cities
2013,Aus,30.57,38.36,Major cities
2013,NSW,30.06,37.79,Major cities
2013,Vic,30.8,38.65,Major cities
2013,Qld,30.41,38.36,Major cities
2013,WA,32.11,37.81,Major cities
2013,SA,26.32,33.2,Major cities
2013,ACT,35.51,45.55,Major cities
2014,Aus,32.01,39.75,Major cities
